SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
9878827132_R03C02,38.01622654,,0,0.262778271,0,0.980030002,Male,0.308432526
9878827132_R05C01,32.17652784,,0,0.278752772,0,0.980210763,Male,0.328243952
9878827132_R05C02,15.25976253,,0,0.286627748,0.002758621,0.98489535,Male,0.337606314
9878827146_R01C01,4.171551926,,0,0.270204715,0,0.990406881,Male,0.321821643
9878827146_R01C02,7.702038606,,0,0.261096313,0.001396258,0.994107469,Male,0.311489501
9878827146_R03C01,5.127920156,,0,0.272481458,0.000756334,0.988675984,Male,0.324444715
9878827146_R03C02,5.877705184,,0,0.272404555,0,0.988686771,Male,0.324897495
9878827146_R05C01,4.564734161,,0,0.279216137,0.000438284,0.989786546,Male,0.331119202
9878827146_R05C02,5.6771769,,0,0.274047139,0,0.990039994,Male,0.328748507
9878827149_R01C01,6.834402016,,0,0.266613483,0.003339912,0.990161234,Male,0.320348332
9878827149_R01C02,5.282077434,,0,0.265183612,0,0.990083037,Male,0.317869583
9878827149_R03C01,3.614850575,,0,0.276563472,0,0.988148821,Male,0.329973419
9878827149_R03C02,2.609042922,,0,0.278862561,0.001322199,0.990028962,Male,0.332162683
9878827149_R05C01,3.792660534,,0,0.278446199,0,0.991864651,Male,0.332429749
9878827149_R05C02,5.247264063,,0,0.275237156,0,0.989384906,Male,0.328313564
9904796227_R01C01,4.953963078,,0,0.285834675,0,0.988482945,Male,0.335356037
9904796227_R01C02,6.632619183,,0,0.288872106,0,0.986806056,Male,0.337402727
9904796227_R03C01,5.466096804,,0,0.277243748,0,0.989670851,Male,0.328304925
9904796227_R03C02,4.989555625,,0,0.280831902,0.001616229,0.989555779,Male,0.332214175
9904796227_R05C01,6.418588176,,0,0.284487542,0,0.986223408,Male,0.335880253
9904796227_R05C02,5.794306834,,0,0.287932877,0.001884745,0.986876538,Male,0.339373994
9933569013_R01C01,8.198730565,,0,0.271568415,0,0.991291049,Male,0.324332109
9933569013_R01C02,9.120674801,,0,0.274171707,0,0.989747375,Male,0.325514279
9933569013_R03C01,6.591666913,,0,0.285585103,0,0.989028061,Male,0.336414187
9933569013_R03C02,9.37879854,,0,0.281105887,0,0.992109375,Male,0.331910575
9933569013_R05C01,8.170314841,,0,0.28968968,0,0.987019298,Male,0.341190025
9933569013_R05C02,11.89046113,,0,0.28916989,0,0.990742671,Male,0.34165687
9933569015_R01C01,10.35034805,,0,0.27054583,0.000697046,0.990135512,Male,0.324494149
9933569015_R01C02,7.80785236,,0,0.278561633,0.001589685,0.987855946,Male,0.330846582
9933569015_R03C01,8.742999766,,0,0.274641576,0,0.990759991,Male,0.328495412
9933569015_R03C02,9.767194576,,0,0.275739432,0,0.990514632,Male,0.326109541
9933569015_R05C01,9.206536828,,0,0.279684811,0.00229709,0.991487269,Male,0.333139147
9933569015_R05C02,11.91403125,,0,0.284136078,0.001532516,0.990854237,Male,0.335037292
101231000136_R01C01,11.59185884, WARNING: meanMethBySample is < 0.25,0,0.226916112,0.005493618,0.98199816,Male,0.276354138
101231000136_R01C02,10.92494744, WARNING: meanMethBySample is < 0.25,0,0.224997129,0.003452349,0.982192998,Male,0.27466393
101231000136_R02C01,15.35488688, WARNING: meanMethBySample is < 0.25,0,0.230133284,0.006665415,0.983822408,Male,0.28012279
101231000136_R02C02,11.65935808, WARNING: meanMethBySample is < 0.25,0,0.232582056,0.00159984,0.986598799,Male,0.376222179
101231000136_R03C01,11.1323953, WARNING: meanMethBySample is < 0.25,0,0.235357137,0.003837919,0.980663294,Male,0.282557505
101231000136_R03C02,10.57534222, WARNING: meanMethBySample is < 0.25,0,0.234906641,0,0.987341772,Male,0.284280057
101231000136_R04C01,20.60268817, WARNING: meanMethBySample is < 0.25,0,0.241701468,0.001541929,0.985088053,Male,0.29165139
101231000136_R04C02,19.83679268, WARNING: meanMethBySample is < 0.25,0,0.241932842,0,0.989538522,Male,0.290581665
101231000136_R05C01,10.83243494, WARNING: meanMethBySample is < 0.25,0,0.244591255,0.000358166,0.985695147,Male,0.294016482
101231000136_R05C02,13.21650529, WARNING: meanMethBySample is < 0.25,0,0.243516737,0.001361852,0.986515364,Male,0.293172078
101231000136_R06C01,10.11981142, WARNING: meanMethBySample is < 0.25,0,0.236930777,0.001691176,0.980751684,Male,0.279369148
101231000136_R06C02,23.48491339, WARNING: meanMethBySample is < 0.25,0,0.235513398,0,0.985743835,Male,0.282420434
101231000151_R01C01,16.56184509, WARNING: meanMethBySample is < 0.25,0,0.222325584,0.00244015,0.985995606,Male,0.272381254
101231000151_R02C01,30.15976926, WARNING: meanMethBySample is < 0.25,0,0.22656382,0.00152314,0.985409963,Male,0.271461165
101231000158_R01C02,14.51379459, WARNING: meanMethBySample is < 0.25,0,0.223755813,0.004072214,0.984682132,Male,0.27391808
101231000158_R02C02,12.51000995, WARNING: meanMethBySample is < 0.25,0,0.216592978,0.003822984,0.987151603,Male,0.253961922
101231000158_R03C02,8.067915275, WARNING: meanMethBySample is < 0.25,0,0.224482597,0.005840586,0.990124093,Male,0.26621875
101231000158_R04C02,40.03448181, WARNING: meanMethBySample is < 0.25,0,0.229612907,0.002716823,0.987672782,Male,0.279646354
101231000158_R05C02,9.488630508, WARNING: meanMethBySample is < 0.25,0,0.242949312,0.00113006,0.985857481,Female,0.407400103
101231000158_R06C02,13.61894816, WARNING: meanMethBySample is < 0.25,0,0.237055829,0.001753702,0.987500429,Male,0.286385849
9297949140_R01C01,3.883317889,,0,0.273752049,0,0.987377512,Male,0.332106167
9297949140_R03C01,19.31347078,,0,0.262097865,0,0.990672538,Male,0.314648648
9829118108_R05C02,7.171942066,,0,0.283460379,0.000426621,0.989425012,Male,0.334547688
9829118109_R01C01,2.137875321,,0,0.274588939,0.003057385,0.982978352,Male,0.323074222
9829118128_R05C02,3.175687483,,0,0.276308823,0.000265027,0.989386832,Male,0.328074424
200123460072_R02C02,23.36887572,,0,0.267337287,0,0.986768158,Female,0.436442066
200123460072_R03C02,16.51188406,,0,0.272386666,0.004696133,0.989395242,Female,0.447471101
3999095027_R01C01,10.52418846, WARNING: meanMethBySample is < 0.25,0,0.23281995,0,0.991440555,Male,0.281516262
3999095027_R01C02,20.82115816, WARNING: meanMethBySample is < 0.25,0,0.237813944,0,0.995150553,Male,0.288275278
3999095027_R02C01,4.720151426, WARNING: meanMethBySample is < 0.25,0,0.249018153,7.22E-05,0.991831734,Male,0.299669129
3999095027_R03C01,9.752083442, WARNING: meanMethBySample is < 0.25,0,0.241774871,0,0.990310739,Male,0.293266363
3999095027_R03C02,43.29132566, WARNING: meanMethBySample is < 0.25,0,0.24668948,0,0.986915012,Male,0.295218448
3999095027_R04C01,30.75530782, WARNING: meanMethBySample is < 0.25,0,0.245769753,0,0.990737167,Male,0.296647148
3999095027_R04C02,10.0744594, WARNING: meanMethBySample is < 0.25,0,0.229510449,0,0.991928251,Male,0.274399026
3999095027_R05C01,0.789606412,,0,0.252224818,0,0.98829568,Male,0.297513222
3999095027_R05C02,27.36908331,,0,0.256016615,0,0.991664858,Male,0.305353387
3999095027_R06C01,19.9808221,,0,0.256297228,0,0.988433266,Male,0.304560367
3999941035_R01C02,8.706602073, WARNING: meanMethBySample is < 0.25,0,0.245545419,0.002045151,0.98866961,Male,0.295553347
3999941035_R02C02,36.61537045, WARNING: meanMethBySample is < 0.25,0,0.225367346,0.001798399,0.983812779,Male,0.268159472
3999941035_R03C02,7.501160952,,0,0.255388704,0.006494221,0.986687026,Male,0.303743828
3999941035_R04C01,37.82311515, WARNING: meanMethBySample is < 0.25,0,0.246330324,0.000362779,0.985199446,Male,0.292543633
3999941035_R04C02,42.25401009,,0,0.252697282,0.005655836,0.992160503,Male,0.301013158
3999941035_R05C01,7.04281938,,0,0.254755601,0,0.993457164,Male,0.308501816
3999941035_R05C02,2.337026305,,0,0.262722641,0.002678886,0.993023357,Male,0.314843285
3999941035_R06C01,27.7817281,,0,0.25200724,0,0.991633899,Male,0.300896117
3999941035_R06C02,15.00459311,,0,0.257428292,0.003479168,0.989985404,Male,0.307023846
3999095027_R02C02,20.50343147, WARNING: meanMethBySample is < 0.25,0,0.239630583,0.001334096,0.988162966,Male,0.289994532
200121140066_R05C01,55.14021996,,0,0.263306088,0.003503215,0.984652226,Female,0.439375204
3998888043_R03C01,2.143405281, WARNING: meanMethBySample is < 0.25,0,0.23992978,0,0.989050728,Unsure,0.381474754
3998888043_R04C01,0.492819036, WARNING: meanMethBySample is < 0.25,0,0.228835071,0,0.991286458,Male,0.359259538
9647455097_R01C02,0.719855954, WARNING: meanMethBySample is < 0.25,0,0.243954151,0.002750929,0.987879501,Unsure,0.390893609
9647455097_R03C01,0.001134888,,0,0.266265234,0,0.987978864,Female,0.441035338
9647455097_R03C02,0.763275465,,0,0.267041591,0,0.988002742,Female,0.431873251
9647455097_R04C01,0.386523044,,0,0.27147423,0.001462701,0.990149626,Female,0.438467354
9647455097_R05C01,0.710487497,,0,0.267067649,0.002089864,0.990658256,Female,0.443967993
9647455097_R06C01,-0.03563619,Negative DNAm age,0,0.265628345,0,0.986835845,Female,0.45037513
9647455097_R02C02,51.83948914,,0,0.252947972,0.004688782,0.983156161,Male,0.28181641
200049730032_R02C02,9.129543385, WARNING: meanMethBySample is < 0.25,0,0.238186888,0.005824895,0.982902939,Male,0.368125775
200049730045_R05C02,11.10766149,,0,0.256811474,0,0.98716792,Male,0.303313043
200049730055_R06C02,11.11053802,,0,0.266832337,0.001179987,0.985366903,Male,0.313705628
200071610033_R03C02,4.960630657,,0,0.25909509,0.004810381,0.988641975,Female,0.419794865
200071610033_R05C01,0.918789339,,0,0.26418003,0.006902847,0.985003092,Male,0.312228608
200071610038_R01C02,9.391575923, WARNING: meanMethBySample is < 0.25,0,0.228538305,0,0.988820953,Male,0.362875853
200090280076_R04C01,5.459024318,,0,0.257358237,0,0.9930082,Female,0.411308568
200090280076_R04C02,6.84481506,,0,0.25709002,0.003187189,0.988470653,Female,0.41222304
200090280076_R05C01,1.864364628,,0,0.261630002,0,0.985081567,Female,0.402713519
200069280135_R06C02,0.68231269,,0,0.272983434,0.004360239,0.987175094,Female,0.435667066
200069280135_R04C02,16.36818451,,0,0.258172287,0.001288328,0.989603073,Male,0.306587818
200069280135_R05C02,0.549629763,,0,0.276351731,0.000943026,0.985018727,Female,0.453175688
200090280076_R01C02,0.551153679, WARNING: meanMethBySample is < 0.25,0,0.23777179,0.006395153,0.984326982,Male,0.374651073
200090280076_R06C02,7.553163252,,0,0.256906239,0.004090909,0.98873393,Male,0.330687245
200069280135_R03C01,1.259953992,,0,0.259680601,0.00313886,0.983020938,Male,0.30643332
200121140066_R01C02,39.15067571,,0,0.251309664,0,0.986814461,Female,0.415973607
200121140066_R02C02,53.12557328,,0,0.263463816,0.003705148,0.981693787,Male,0.308750694
200121140066_R03C02,39.72403882,,0,0.261585011,0.002120088,0.979238754,Female,0.435113817
9297949061_R02C01,25.36142914,,0,0.278410101,0.006404993,0.976463036,Male,0.325933555
9297949061_R02C02,33.66027549,,0,0.284713183,0.0026852,0.978052521,Male,0.331525331
9297949061_R04C01,28.93209872,,0,0.286521156,0,0.980121704,Male,0.337261168
9297949061_R04C02,30.24794638,,0,0.288205678,0,0.979292288,Male,0.337240767
9297949061_R06C01,31.59437158,,0,0.311531787,0,0.985795729,Male,0.364131766
9297949061_R06C02,31.16160401,,0,0.309418284,0,0.981358363,Male,0.360905976
9297949140_R02C02,17.56512861,,0,0.266095806,0,0.992139774,Male,0.318632888
9297949140_R04C01,19.54029231,,0,0.259897171,0,0.991630423,Male,0.310555455
9297949140_R04C02,17.0385643,,0,0.266248218,0,0.991303699,Male,0.318773408
9297949140_R06C01,16.05192501,,0,0.276092262,0,0.988107998,Male,0.324487939
9297949140_R06C02,13.9936626,,0,0.280186533,0,0.985933379,Male,0.330479253
9297949145_R02C01,20.76506993,,0,0.284192256,0.000829,0.992669816,Male,0.335639135
9297949145_R02C02,17.3445695,,0,0.293460759,0,0.991694617,Male,0.347254045
9297949145_R04C01,17.23724778,,0,0.272942663,0,0.992603427,Male,0.327132622
9297949145_R04C02,18.02660201,,0,0.273223293,0,0.992325757,Male,0.325847247
9297949145_R06C01,20.23648878,,0,0.27458692,0,0.98917064,Male,0.32758072
9297949145_R06C02,20.22028658,,0,0.27674712,0.001518603,0.989367749,Male,0.330135768
9297949151_R02C01,24.69618904,,0,0.272222428,0,0.985032258,Male,0.320341253
9297949151_R02C02,17.03816063,,0,0.276567748,0,0.988019324,Male,0.328693866
9297949151_R04C01,16.5049962,,0,0.264604858,0,0.990437158,Male,0.317172685
9297949151_R04C02,16.03816487,,0,0.264930496,0.00230747,0.989874251,Male,0.315917404
9297949151_R06C01,14.73381322,,0,0.279609871,0,0.995206554,Male,0.333774217
9297949151_R06C02,15.42625428,,0,0.283904192,0.000948833,0.992871873,Male,0.337924123
9376537037_R02C01,12.41301932,,0,0.276759983,0.002113114,0.987300041,Male,0.328844664
9376537037_R02C02,10.176788,,0,0.286675829,0.001509719,0.986375922,Male,0.340427827
9376537037_R04C01,7.960681289,,0,0.285935119,0,0.988016808,Male,0.338947191
9376537037_R04C02,10.02507269,,0,0.288218411,0.002334574,0.987714152,Male,0.339070486
9376537037_R06C01,11.87221538,,0,0.289528899,0,0.989329524,Male,0.342467474
9376537037_R06C02,12.47860763,,0,0.292646586,0,0.990955744,Male,0.347009962
9829118108_R02C01,13.3777224,,0,0.272785834,0,0.991532676,Male,0.323639159
9829118108_R02C02,10.3585673,,0,0.273163442,0.000328839,0.992031527,Male,0.323512764
