SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
200123460016_R02C02,11.10470034,11.0893853,12.96264168,8.459687219,F,PASS
200123460016_R03C01,11.02424465,11.17868757,12.52292208,12.57750841,M,PASS
200123460016_R03C02,11.12181309,11.29902049,13.06315223,8.624469915,F,PASS
200123460016_R04C01,11.32549512,11.20084872,13.16664077,8.659738214,F,PASS
200123460016_R04C02,11.07305791,11.23037687,12.70717525,12.65918847,M,PASS
200123460016_R05C01,11.35947833,11.16771897,13.18192946,8.675823729,F,PASS
200123460016_R05C02,11.60384131,11.43476551,12.8348788,12.90043836,M,PASS
200123460016_R06C01,11.33691224,11.10758298,13.24395006,8.676980081,F,PASS
200123460016_R06C02,11.28921852,11.34117011,12.74341657,12.82494031,M,PASS
200123460046_R01C01,10.54461974,10.59794706,12.64407093,8.273172278,F,PASS
200123460046_R01C02,10.34783339,10.61326276,12.03470054,12.01652894,M,PASS
200123460046_R02C01,10.76974829,10.85510975,12.30092943,12.33936209,M,PASS
200123460046_R02C02,10.74674871,10.71383081,12.82751818,8.46896941,F,PASS
200123460046_R03C01,10.99890638,10.92854519,12.41246716,12.48712589,M,PASS
200123460046_R03C02,10.75079123,10.82410055,12.93580469,8.568335991,F,PASS
200123460046_R04C01,10.94912016,11.01158199,12.46664016,12.52950944,M,PASS
200123460046_R04C02,10.97467174,11.08262741,12.46291776,12.54996457,M,PASS
200123460046_R05C01,10.79253846,10.93310897,12.41423189,12.30340912,M,PASS
200123460046_R05C02,11.24691488,11.12145639,12.61848761,12.67740877,M,PASS
200123460046_R06C01,11.01596388,11.04290307,12.54809859,12.55425451,M,PASS
200123460046_R06C02,11.24386921,11.23292533,12.67849586,12.75316522,M,PASS
200123460072_R01C01,10.85290211,10.85625641,12.73232287,8.47507477,F,PASS
200123460072_R01C02,10.95260448,10.9400581,12.25558059,12.23900528,M,PASS
200123460072_R02C01,10.73593467,10.9993711,12.38736209,12.40307185,M,PASS
200123460072_R02C02,11.10376602,11.06056896,12.97361136,8.605295088,F,PASS
200123460072_R03C01,10.65591154,10.97852271,12.39704991,12.40796076,M,PASS
200123460072_R03C02,11.18232459,11.18008859,13.09172426,8.694232401,F,PASS
200123460072_R04C01,11.12105339,11.11797633,12.53598067,12.56655865,M,PASS
200123460072_R04C02,10.36302176,11.4267298,12.38799814,12.39604377,M,PASS
200123460072_R05C01,11.56936617,11.16953124,12.65285637,12.70751075,M,PASS
200123460072_R05C02,10.78584688,10.90186654,12.46987016,12.44822222,M,PASS
200123460072_R06C01,10.18775092,10.24972419,12.75901493,8.76722036,F,PASS
200123460072_R06C02,10.80757062,11.02936796,12.54088711,12.53435888,M,PASS
9376537037_R01C01,11.77998145,11.62695136,12.85414265,12.99110742,M,PASS
9376537037_R01C02,11.78892328,11.66616579,12.90865846,13.00430612,M,PASS
9376537037_R02C01,12.07518426,11.92508633,13.13099375,13.22530078,M,PASS
9376537037_R02C02,12.24178557,11.95274322,13.17530036,13.28669663,M,PASS
9376537037_R03C01,12.2547703,11.89861486,13.23960923,13.38877576,M,PASS
9376537037_R03C02,12.15512659,11.94584287,13.19606011,13.30063926,M,PASS
9376537037_R04C01,12.43550834,12.09920971,13.32123266,13.4361773,M,PASS
9376537037_R04C02,12.23032951,11.93233881,13.21017386,13.33878161,M,PASS
9376537037_R05C01,12.15423209,11.85183843,13.14140675,13.2436534,M,PASS
9376537037_R05C02,12.29567982,11.91906656,13.23046916,13.36662765,M,PASS
9376537037_R06C01,12.1706754,11.98240136,13.22080061,13.31302686,M,PASS
9376537037_R06C02,12.52113775,12.09344436,13.3590255,13.4613665,M,PASS
9553932037_R01C01,10.71507006,10.91186629,12.43075926,12.22861212,M,PASS
9553932037_R01C02,11.60184645,11.27318246,13.07876683,8.568864433,F,PASS
9553932037_R02C01,11.8631521,11.50299532,13.30301833,8.686301277,F,PASS
9553932037_R02C02,11.86113954,11.4532395,13.2825003,8.799710631,F,PASS
9553932037_R03C01,11.96845207,11.62713503,13.40727499,8.747762145,F,PASS
9553932037_R04C01,11.68639976,11.63090675,12.89856878,12.92000247,M,PASS
9553932037_R05C01,11.398262,11.59953989,13.20989307,8.706260308,F,PASS
9553932037_R06C01,11.42002086,11.74300029,13.63687058,9.265931928,F,PASS
9553932041_R01C01,10.79701421,10.6562505,12.47499733,8.178362405,F,PASS
9553932041_R01C02,10.97577816,10.88498162,12.11785117,12.15522045,M,PASS
9553932041_R02C01,11.2697591,10.87065121,12.84968201,8.375049408,F,PASS
9553932041_R02C02,11.21959372,11.16225748,12.96167698,8.547435666,F,PASS
9553932041_R03C01,11.21876054,11.26181123,12.47345408,12.49446758,M,PASS
9553932041_R03C02,11.53904961,11.43725254,12.68702148,12.72462176,M,PASS
9553932041_R04C01,11.60747986,11.37662512,13.22462505,8.740139289,F,PASS
9553932041_R04C02,11.64935753,11.45027175,12.77710349,12.81144438,M,PASS
9553932041_R05C01,11.74696416,11.51809272,13.36494236,8.873953743,F,PASS
9553932041_R05C02,11.63548794,11.58096154,12.78546334,12.80405617,M,PASS
9553932041_R06C01,11.65367545,11.54879711,13.42437247,8.919517014,F,PASS
9553932041_R06C02,11.64399161,11.50273204,12.78939132,12.85590108,M,PASS
9553932050_R01C01,10.68105612,10.48706039,11.7611169,11.75889392,M,PASS
9553932050_R01C02,10.90131075,10.85605285,11.98272074,11.96072074,M,PASS
9553932050_R02C01,11.0727475,10.89155145,12.14712235,12.16934736,M,PASS
9553932050_R02C02,11.1264143,10.84289536,12.16925807,12.15547054,M,PASS
9553932050_R03C01,11.33417422,11.11543406,12.41504694,12.41922999,M,PASS
9553932050_R03C02,11.4063697,11.2517484,13.01931756,8.660365646,F,PASS
9553932050_R04C01,11.46590055,11.37391451,12.58606742,12.57914203,M,PASS
9553932050_R04C02,11.56949037,11.23892957,13.19307815,8.829749305,F,PASS
9553932050_R05C01,11.52661017,11.29781373,13.1955135,8.786382197,F,PASS
9553932050_R05C02,11.62140754,11.40361309,12.74884153,12.73236911,M,PASS
9553932050_R06C01,11.6429508,11.3872767,13.31670847,8.803679129,F,PASS
9553932050_R06C02,11.66135623,11.53032058,13.3919646,8.949682321,F,PASS
9553932055_R01C01,10.1410126,9.745396425,11.14409303,11.18489497,M,PASS
9553932055_R01C02,9.558364089,9.368441872,11.1202404,9.731503483,M,PASS
9553932055_R02C01,10.37985216,9.849021692,11.82463675,8.911759089,F,PASS
9553932055_R02C02,9.83132767,9.609871256,11.03184002,11.04812314,M,PASS
9553932055_R03C01,10.21847309,10.088482,11.30573458,11.4434605,M,PASS
9553932055_R03C02,10.14489519,9.999185774,11.37496542,11.34309279,M,PASS
9553932055_R04C01,10.89290673,10.38930025,12.39046407,8.793997527,F,PASS
9553932055_R04C02,10.61301656,10.33093626,12.00918018,11.32195644,M,PASS
9553932055_R05C01,11.09517417,10.63621123,11.99219003,12.08719474,M,PASS
9553932055_R05C02,11.31027334,10.6896918,12.57145902,9.167642342,F,PASS
9553932055_R06C01,11.16280691,10.74791839,12.67744914,9.365132251,F,PASS
9553932055_R06C02,11.3514593,10.78958372,12.09451622,12.30326086,M,PASS
9554599003_R01C01,11.23578823,11.22956472,12.41969955,12.44373374,M,PASS
9554599003_R01C02,11.09081055,10.95973326,12.2190953,12.22433208,M,PASS
9554599003_R02C01,11.61035646,11.3417846,13.18032705,8.722700979,F,PASS
9554599003_R02C02,11.53642316,11.10845813,13.06885678,8.693458,F,PASS
9554599003_R03C01,11.70755438,11.5450665,12.76867713,12.8368678,M,PASS
9554599003_R03C02,11.62382098,11.40516599,13.20818743,8.885589091,F,PASS
9554599003_R04C01,11.76417856,11.46613043,12.79853795,12.81881759,M,PASS
